trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
346,False,"{'a': 0.5, 'e': 0.20842370616472877}",20,0,18.975378354696492,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
347,False,"{'a': 0.5, 'e': 0.20456427574127142}",20,13,-2.141567346059343,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
348,False,"{'a': 0.5, 'e': 0.20070166257961347}",25,3,14.273030474269778,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
349,False,"{'a': 0.5, 'e': 0.19683592677669248}",25,11,11.61071070430467,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
350,False,"{'a': 0.5, 'e': 0.19296712847802938}",25,8,-21.537496525667127,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
351,False,"{'a': 0.5, 'e': 0.18909532787679414}",30,0,-84.67034350704154,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 3}",0
352,False,"{'a': 0.5, 'e': 0.1852205852128676}",25,7,-11.621621925838598,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
353,False,"{'a': 0.5, 'e': 0.18134296077190565}",30,13,32.31995741693632,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.5, 'e': 0.17746251488440068}",25,18,12.492614226292954,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.5, 'e': 0.17357930792474224}",25,10,25.61451448268767,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.5, 'e': 0.16969340031027927}",25,18,12.934131064786337,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.5, 'e': 0.1658048525003782}",20,0,22.524889082379755,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
358,False,"{'a': 0.5, 'e': 0.16191372499548407}",30,20,21.25045157982644,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.5, 'e': 0.15802007833617826}",30,20,6.906329417234985,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
360,False,"{'a': 0.5, 'e': 0.15412397310223616}",20,14,-2.7513396744116156,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
361,False,"{'a': 0.5, 'e': 0.15022546991168584}",25,11,15.170269304548254,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
362,False,"{'a': 0.5, 'e': 0.14632462941986424}",20,13,14.994277770314406,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.5, 'e': 0.1424215123184729}",20,6,3.445582155802446,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
364,False,"{'a': 0.5, 'e': 0.13851617933463498}",20,0,27.670685155520935,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
365,False,"{'a': 0.5, 'e': 0.13460869122994906}",35,9,24.527919677916202,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
366,False,"{'a': 0.5, 'e': 0.1306991087995449}",30,0,-41.789432516351575,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
367,False,"{'a': 0.5, 'e': 0.12678749287113725}",25,17,-23.93690366174455,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
368,False,"{'a': 0.5, 'e': 0.12287390430407844}",20,10,18.137602044355432,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.5, 'e': 0.11895840398841316}",25,17,15.953038295539269,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
